rut,nombre,edad,sexo,cargo
67216197-5,Glenn Curry,18,mujer,Trabajador
84621982-k,Shahzaib Lester,34,mujer,Trabajador
47121914-2,Tayyib Davila,47,mujer,Jefe
23047484-2,Karol Knights,36,mujer,Jefe
73026642-1,Layton Hodge,20,mujer,Jefe
34414978-k,Francis Kerr,40,hombre,Trabajador
87282538-k,Nico Lim,38,hombre,Trabajador
21016824-9,Akeem Odonnell,20,hombre,Jefe
63196577-6,Gino Alston,35,hombre,Trabajador
59051717-8,Aalia Ball,21,mujer,Trabajador
59749734-2,Danyal Steele,49,mujer,Jefe
37204390-3,Hettie Samuels,47,hombre,Trabajador
48592540-6,Cari Welch,54,mujer,Jefe
79543386-4,Howard Boone,23,hombre,Trabajador
70433997-6,Roosevelt Charlton,33,mujer,Jefe
48553208-0,Spencer Tran,24,mujer,Trabajador
10339840-1,Pola Finney,25,mujer,Jefe
69767927-8,Annaliese Mckinney,30,hombre,Jefe
73454838-3,Princess Guest,56,mujer,Jefe
34039148-9,Sonnie Pugh,58,mujer,Jefe
93591226-1,Lola-Mae Whittaker,58,hombre,Jefe
73842540-5,Kirandeep Riggs,25,mujer,Trabajador
58648727-2,Asmaa Allman,44,hombre,Jefe
95656123-k,Kenzo Beech,28,mujer,Trabajador
88107942-9,Zac Mcgill,40,mujer,Jefe
81428035-7,Jorgie Rowland,44,mujer,Trabajador
46805723-9,Harvie Bonilla,35,mujer,Jefe
96371883-7,Samir Daugherty,33,mujer,Trabajador
92390198-1,Asha Guthrie,19,hombre,Jefe
17611254-9,Hamaad Barajas,50,hombre,Jefe
56197957-k,Mandeep Vazquez,20,hombre,Trabajador
78301240-5,Harvey-Lee Burch,22,mujer,Jefe
90730270-9,Kamran Santos,20,hombre,Jefe
25919808-9,Junior Bryant,24,mujer,Jefe
92060023-9,Stefan Allen,57,mujer,Jefe
91346186-k,Haidar Moreno,30,hombre,Jefe
56405384-8,Shayaan Watkins,19,hombre,Jefe
97596735-2,Abid Cross,42,hombre,Trabajador
32153494-5,Khadija Dalby,43,mujer,Jefe
54546935-9,Billie Kaur,38,mujer,Jefe
48269008-4,Mimi Harris,49,hombre,Jefe
50942616-3,Kierran Stanton,27,hombre,Jefe
84327091-3,Isabell Goodwin,40,hombre,Jefe
66714421-3,Tiffany Cantu,25,hombre,Jefe
48007583-8,Skye Gray,49,mujer,Jefe
14585428-8,Lemar Cullen,28,hombre,Jefe
25450277-4,Maariya Enriquez,30,hombre,Jefe
60456055-1,Ayana Portillo,23,mujer,Jefe
90494178-6,Humayra Palacios,32,hombre,Jefe
95199785-4,Mea Dorsey,37,hombre,Jefe
13947632-8,Ammaar Carty,48,hombre,Jefe
29004298-4,Dainton Pratt,24,mujer,Jefe
63968995-6,Waleed Aguirre,53,hombre,Jefe
75269880-5,Dev Adamson,60,mujer,Trabajador
42494071-2,Karis Downes,58,mujer,Jefe
11123767-0,Annabelle Mullins,35,hombre,Jefe
16697747-9,Faheem Bains,42,hombre,Trabajador
37285914-8,Kaeden Knapp,53,mujer,Jefe
79725852-0,Jobe Reyes,26,hombre,Jefe
11118739-8,Ilayda Whitehouse,29,mujer,Jefe
45273848-1,Nasir Jenkins,19,hombre,Jefe
33461512-k,Jonny Newton,50,mujer,Jefe
27626683-7,Sabrina Gillespie,47,hombre,Jefe
12920124-k,Frances Corrigan,25,mujer,Jefe
15955355-8,Yunus Galloway,20,mujer,Jefe
14495790-3,Robyn Hyde,55,hombre,Jefe
49552236-9,Rebecca Sheehan,56,hombre,Jefe
40161573-3,Sakina Stewart,49,hombre,Jefe
12969098-4,India Camacho,22,mujer,Jefe
41775238-2,Ella-Mai Butt,55,mujer,Jefe
52792841-9,Maia Glover,22,mujer,Jefe
82533150-6,Aryan Hastings,25,hombre,Jefe
38100857-6,Hashir Hendricks,49,mujer,Jefe
69691126-6,Yash Wallace,19,mujer,Jefe
99302343-4,Harlow Woods,19,hombre,Jefe
35155157-7,Ariadne Hibbert,40,mujer,Jefe
35340502-0,Miller Fletcher,57,hombre,Jefe
95711978-6,Kymani Rahman,49,hombre,Jefe
23686910-5,Gaia Pearson,31,mujer,Jefe
93129166-1,Ruth Steadman,34,mujer,Trabajador
98357275-8,Asiya Short,49,hombre,Jefe
77484278-0,Amba Crane,36,mujer,Jefe
52258791-5,Isaac Fleming,20,mujer,Jefe
24927693-6,Haider Hines,19,hombre,Jefe
71316667-7,Luca Foley,37,mujer,Jefe
37780063-k,Ariyan Patel,32,hombre,Jefe
15795964-6,Luqman Marks,21,mujer,Jefe
24655915-5,Evan Haas,24,hombre,Jefe
36304600-2,Aiden Arnold,36,hombre,Trabajador
12177977-3,Billy-Joe Ward,22,hombre,Jefe
79974368-k,Nathaniel Rivas,37,mujer,Jefe
42868972-0,Harry Hood,50,mujer,Jefe
25696685-9,Brandy Ponce,41,mujer,Jefe
95423202-6,Siyana Ballard,23,hombre,Jefe
18984900-1,Musa Myers,27,hombre,Jefe
57181678-4,Ace Stephenson,57,mujer,Jefe
97163657-2,Ashlyn Finch,31,mujer,Jefe
42714709-6,Mikayla Hume,30,mujer,Jefe
88667817-7,Nevaeh Gill,46,mujer,Jefe
50814284-6,Rahul Finley,36,hombre,Jefe
